index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
0,Sergi Enrich,9.0,es ESP,FW,30-199,67,0,0,0,0,0,0,0,0,27.0,1.0,0,0.0,0.0,0.0,0.1,2.0,0.0,13.0,21.0,61.9,1.0,12.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,1,0
1,Recio,18.0,es ESP,CM,29-245,23,0,0,0,0,0,0,0,0,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,50.0,1.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
2,Kiké,17.0,es ESP,FW,30-292,90,0,0,0,0,1,0,0,0,56.0,2.0,0,4.0,0.1,0.1,0.0,4.0,0.0,17.0,39.0,43.6,0.0,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
3,Takashi Inui,14.0,jp JPN,LM,32-102,60,0,0,0,0,1,0,0,0,28.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,44.4,1.0,19.0,3.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,1,0
4,Damian Kądzior,19.0,pl POL,"LW,RW,LM",28-088,30,0,0,0,0,1,0,0,0,15.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,7.0,12.0,58.3,2.0,8.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
5,Edu Expósito,10.0,es ESP,CM,24-042,90,0,0,0,0,2,0,0,0,34.0,1.0,0,1.0,0.1,0.1,0.0,0.0,0.0,13.0,22.0,59.1,4.0,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
6,Papakouli Diop,8.0,sn SEN,CM,34-177,86,0,0,0,0,0,0,2,1,37.0,3.0,1,2.0,0.0,0.0,0.0,1.0,0.0,17.0,29.0,58.6,4.0,14.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1,0
7,Pedro León,21.0,es ESP,"RM,RW",33-293,83,0,0,0,0,2,1,0,0,31.0,0.0,0,0.0,0.1,0.1,0.1,2.0,0.0,9.0,24.0,37.5,2.0,15.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
8,Rafa Soares,11.0,pt POR,LW,25-126,7,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
9,Pedro Bigas,3.0,es ESP,LB,29-363,90,0,0,0,0,1,0,1,0,70.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,63.0,58.7,6.0,9.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
10,Paulo Oliveira,4.0,pt POR,CB,28-248,90,0,0,0,0,0,0,0,0,50.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,18.0,43.0,41.9,1.0,14.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
11,Sergio Álvarez,6.0,es ESP,CB,28-233,90,0,0,0,0,0,0,1,0,47.0,2.0,1,0.0,0.0,0.0,0.0,2.0,0.0,24.0,38.0,63.2,3.0,14.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
