zawodnik_id,imie_nazwisko,Nation,Pos,druzyna_id,Cmp_x_x,DateOfBirth,Min,Gls,Ast,CrdY,CrdR,Cmp_x_y
0,13.0,Aarón Escandell,ESP,GK,Valladolid,19.0,1995-09-13,450,0,0,1,0,78.0
1,19.0,Aarón Martín,ESP,LB,Elche,44.0,1997-04-07,1540,0,3,1,0,675.0
2,30.0,Abdallahi Mahmoud,MTN,CM,Real Sociedad,10.0,2000-04-19,66,0,0,0,0,13.0
3,21.0,Abdoulay Diaby,MLI,CB,Huesca,5.0,1991-05-28,18,0,0,0,0,5.0
4,11.0,Adnan Januzaj,BEL,RW,Levante,4.0,1995-01-21,1014,4,5,2,0,397.0
5,20.0,Adrián López,ESP,LM,Real Sociedad,8.0,1987-12-28,481,1,1,0,0,137.0
6,18.0,Adrián Marín,ESP,LB,Valladolid,4.0,1996-12-25,362,0,1,1,0,123.0
7,12.0,Aihen Muñoz,ESP,LB,Betis,21.0,1997-07-23,1210,0,1,6,0,505.0
8,13.0,Aitor Fernández,ESP,GK,Elche,20.0,1991-04-21,2610,0,0,0,0,709.0
9,24.0,Aitor Ruibal,ESP,LW,Atlético Madrid,5.0,1996-03-07,1593,2,2,2,0,411.0
10,1.0,Alberto Cifuentes,ESP,GK,Atlético Madrid,19.0,1979-06-09,180,0,0,0,0,27.0
11,18.0,Alberto Moreno,ESP,LB,Real Madrid,33.0,1992-06-20,193,0,0,0,0,85.0
12,10.0,Alberto Perea,ESP,LW,Valladolid,15.0,1990-12-04,1549,2,3,0,0,379.0
13,26.0,Alberto Soro,ESP,RM,Valladolid,5.0,1999-02-22,393,1,2,1,0,92.0
14,19.0,Aleix García,ESP,CM,Barcelona,18.0,1997-06-13,437,0,1,1,0,227.0
15,17.0,Aleix Vidal,ESP,RB,Villarreal,63.0,1989-08-08,595,0,1,2,0,423.0
16,16.0,Alejandro Blanco,ESP,LM,Real Madrid,10.0,1998-11-24,580,1,0,1,0,101.0
17,27.0,Alejandro Blesa,ESP,CM,Athletic Club,12.0,2001-12-28,11,0,0,0,0,12.0
18,22.0,Alejandro Pozo Pozo,ESP,RB,Real Madrid,7.0,1999-02-07,2190,0,0,4,0,829.0
19,32.0,Alex Baena,ESP,RM,Real Madrid,3.0,2001-07-03,137,0,0,0,0,43.0
20,19.0,Alexander Isak,SWE,FW,Levante,8.0,1999-09-05,2340,17,2,4,0,319.0
21,36.0,Alfon,ESP,RM,Elche,5.0,1999-04-27,34,0,0,0,0,16.0
22,22.0,Alfonso Espino,URU,LB,Valencia,14.0,1991-12-22,2601,0,3,6,0,650.0
23,24.0,Alfonso Pedraza,ESP,LB,Granada,34.0,1996-03-23,2018,1,2,8,0,906.0
24,12.0,Allan Nyom,CMR,LB,Betis,41.0,1988-04-27,2323,0,2,10,1,577.0
25,23.0,Anaitz Arbilla,ESP,CB,Real Madrid,34.0,1987-05-03,2807,0,1,8,0,1459.0
26,22.0,Ander Barrenetxea,ESP,LW,Levante,2.0,2001-12-10,1307,3,0,7,0,291.0
27,21.0,Ander Capa,ESP,RB,Real Sociedad,17.0,1992-01-29,2131,2,1,5,0,900.0
28,16.0,Ander Guevara,ESP,DM,Levante,58.0,1997-06-21,2081,1,1,5,0,1175.0
29,18.0,Andoni Gorosabel,ESP,RB,Levante,44.0,1996-07-19,2382,0,1,3,0,1143.0
30,13.0,Andrés Fernández,ESP,GK,Elche,28.0,1986-12-05,1440,0,0,0,0,395.0
31,18.0,Andrés Guardado,MEX,DM,Atlético Madrid,29.0,1986-09-16,1318,1,0,4,0,654.0
32,22.0,Ansu Fati,ESP,FW,Betis,17.0,2002-10-30,431,4,0,1,0,168.0
33,17.0,Ante Budimir,CRO,FW,Celta Vigo,5.0,1991-07-08,1625,11,0,3,0,238.0
34,14.0,Ante Palaversa,CRO,DM,Levante,3.0,2000-04-04,9,0,0,0,0,7.0
35,9.0,Anthony Lozano,HON,LM,Valencia,5.0,1993-04-10,1523,3,1,5,0,158.0
36,7.0,Antoine Griezmann,FRA,RW,Osasuna,49.0,1991-03-08,2604,13,7,4,0,1168.0
37,19.0,Antonio Barragán,ESP,CB,Eibar,25.0,1987-05-31,2235,0,3,8,0,1091.0
38,10.0,Antonio Puertas,ESP,LB,Valladolid,20.0,1992-02-08,2170,3,5,6,0,418.0
39,19.0,Antonio Sanabria,PAR,FW,Real Madrid,6.0,1996-02-25,932,3,0,2,0,159.0
40,13.0,Antonio Sivera,ESP,GK,Getafe,11.0,1996-07-27,71,0,0,0,0,11.0
41,23.0,Aridane Hernández,ESP,CB,Valencia,46.0,1989-03-11,2026,0,0,3,1,568.0
42,6.0,Aritz Elustondo,ESP,CB,Levante,61.0,1994-03-13,1884,1,0,5,0,1058.0
43,4.0,Asier Illarramendi,ESP,DM,Huesca,5.0,1990-02-23,337,0,0,2,0,253.0
44,20.0,Asier Villalibre,ESP,FW,Alavés,11.0,1997-09-15,1589,4,2,1,0,181.0
45,17.0,Augusto Fernández,ARG,CM,Valladolid,10.0,1986-03-27,369,0,0,1,0,91.0
46,21.0,Augusto Solari,ARG,LM,Elche,11.0,1991-12-21,486,2,2,2,0,148.0
47,23.0,Aïssa Mandi,ALG,CB,Granada,53.0,1991-10-09,2392,3,1,6,2,1387.0
48,42.0,Barcia,ESP,LB,Valladolid,13.0,2000-12-29,90,0,0,1,0,13.0
49,31.0,Blanco,,DM,Valencia,,2000-07-08,220,0,0,0,0,0.0
50,32.0,Bobby Adekanye,NED,LM,Real Madrid,0.0,1999-02-12,36,0,0,0,0,7.0
51,24.0,Borja García,ESP,FW,Alavés,6.0,1990-10-09,1117,1,0,0,0,480.0
52,9.0,Borja Iglesias,ESP,FW,Atlético Madrid,13.0,1993-01-03,1411,11,0,2,0,193.0
53,16.0,Borja Mayoral,ESP,FW,Villarreal,0.0,1997-04-11,23,0,0,0,0,3.0
54,29.0,Borja Sainz,ESP,LM,Celta Vigo,1.0,2001-01-16,453,1,0,1,0,81.0
55,23.0,Brais Méndez,ESP,RM,Elche,46.0,1996-12-23,2671,9,0,8,0,919.0
56,6.0,Bruno González,ESP,CB,Barcelona,19.0,1990-05-11,2263,1,0,8,0,602.0
57,25.0,Bryan Gil,ESP,RM,Real Madrid,17.0,2001-01-26,2278,4,3,6,0,687.0
58,18.0,Burgui,ESP,RM,Villarreal,9.0,1993-10-21,21,0,0,0,0,9.0
59,16.0,Cala,ESP,CB,Sevilla,9.0,1989-11-14,2272,3,0,8,0,523.0
60,11.0,Carles Aleñá,ESP,CM,Betis,36.0,1997-12-21,1414,2,2,2,0,426.0
61,15.0,Carlos Akapo,EQG,RB,Valladolid,24.0,1993-02-24,865,1,0,3,1,229.0
62,9.0,Carlos Bacca,COL,FW,Granada,8.0,1986-08-25,725,5,0,1,0,96.0
63,19.0,Carlos Clerc,ESP,LB,Athletic Club,15.0,1992-02-06,2781,0,3,5,0,1304.0
64,40.0,Carlos Dominguez,ESP,CB,Elche,49.0,2001-01-26,360,0,0,2,0,126.0
65,9.0,Carlos Fernández,ESP,AM,Levante,3.0,1996-05-06,533,1,2,5,0,102.0
66,15.0,Carlos Neva,ESP,WB,Valladolid,15.0,1996-05-29,1797,0,0,1,0,421.0
67,8.0,Carlos Soler,ESP,CM,Villarreal,37.0,1996-12-18,2735,11,8,7,0,1272.0
68,14.0,Casemiro,BRA,CM,Barcelona,25.0,1992-02-08,2901,6,4,11,1,1630.0
69,25.0,Cheick Doukouré,CIV,CM,Eibar,0.0,1992-08-29,101,0,0,1,0,36.0
70,6.0,Chema,ESP,CB,Betis,28.0,1992-02-18,557,0,0,3,1,102.0
71,10.0,Christian Oliva,URU,CM,Getafe,2.0,1996-05-17,198,0,2,0,0,85.0
72,23.0,Cifu,ESP,RB,Alavés,11.0,1990-09-21,451,0,0,1,0,158.0
73,25.0,Claudio Bravo,CHI,GK,Atlético Madrid,17.0,1983-04-02,1800,0,0,3,0,422.0
74,15.0,Clément Lenglet,FRA,CB,Eibar,80.0,1995-06-04,2475,1,0,11,2,2130.0
75,23.0,Coke,ESP,RB,Athletic Club,11.0,1987-04-12,835,0,0,1,0,363.0
76,11.0,Cristian Tello,ESP,LW,Atlético Madrid,4.0,1991-07-29,1283,5,3,2,1,388.0
