,game_id,Team,Sh,SoT,CrdY,CrdR,PK,Gls,Cmp_x
0,0,Eibar,8,1,4,1,0,0,210.0
336,0,Celta Vigo,6,3,3,0,0,0,228.0
337,1,Athletic Club,9,2,4,0,0,0,404.0
1,1,Granada,4,2,3,0,0,2,249.0
2,2,Cádiz,12,3,2,0,0,0,266.0
338,2,Osasuna,6,4,2,0,0,2,227.0
3,3,Alavés,7,2,3,0,0,0,250.0
339,3,Betis,11,4,3,0,0,1,366.0
4,4,Valladolid,8,2,4,0,0,1,197.0
340,4,Real Sociedad,8,2,1,0,0,1,327.0
341,5,Huesca,10,3,1,0,0,1,227.0
5,5,Villarreal,14,3,1,0,1,1,497.0
342,6,Levante,19,8,2,0,0,2,427.0
6,6,Valencia,14,8,1,0,0,4,316.0
343,8,Eibar,10,3,2,0,0,0,213.0
7,8,Villarreal,6,1,4,0,0,1,303.0
344,9,Osasuna,9,3,1,0,0,1,348.0
8,9,Getafe,23,6,3,0,0,2,375.0
345,10,Valencia,6,4,3,0,0,2,160.0
9,10,Celta Vigo,5,1,3,0,0,0,533.0
346,11,Cádiz,5,3,3,0,0,1,221.0
10,11,Huesca,10,3,0,0,0,2,313.0
347,12,Alavés,9,2,0,0,0,0,323.0
11,12,Granada,15,5,3,0,1,2,439.0
12,13,Betis,6,1,2,0,0,0,266.0
348,13,Valladolid,16,4,2,0,0,0,640.0
13,14,Real Sociedad,9,0,2,0,0,0,204.0
349,14,Real Madrid,11,4,2,0,0,0,266.0
14,16,Alavés,5,2,3,0,0,0,279.0
350,16,Getafe,26,6,1,0,1,3,455.0
351,17,Huesca,10,3,2,0,1,2,494.0
15,17,Valencia,15,5,5,1,0,2,395.0
16,18,Elche,8,3,2,0,0,1,207.0
352,18,Real Sociedad,10,4,0,0,0,3,342.0
17,19,Betis,7,1,1,0,0,1,237.0
353,19,Real Madrid,9,5,0,0,0,2,245.0
18,20,Osasuna,16,9,3,0,0,6,449.0
354,20,Levante,11,6,1,0,0,1,324.0
355,21,Athletic Club,5,1,4,0,0,1,252.0
19,21,Eibar,9,3,3,0,1,1,301.0
356,22,Granada,14,5,2,0,0,3,672.0
20,22,Atlético Madrid,12,5,4,0,0,1,144.0
21,23,Valladolid,16,8,0,0,1,3,634.0
357,23,Celta Vigo,5,1,1,0,0,0,458.0
22,24,Cádiz,11,3,1,0,0,0,458.0
358,24,Sevilla,9,5,5,0,0,1,190.0
359,25,Villarreal,10,2,4,1,0,0,553.0
23,25,Barcelona,8,4,4,0,0,3,179.0
360,27,Valencia,16,2,0,0,0,0,576.0
24,27,Real Sociedad,9,3,1,0,0,0,290.0
25,28,Getafe,11,4,2,0,0,0,455.0
361,28,Betis,5,2,2,0,0,1,251.0
26,29,Villarreal,15,5,2,0,0,1,529.0
362,29,Alavés,11,5,1,0,0,0,285.0
363,30,Atlético Madrid,3,1,2,0,0,0,255.0
27,30,Huesca,16,2,6,0,0,1,527.0
364,31,Elche,3,1,5,2,0,0,138.0
28,31,Eibar,13,4,3,0,0,0,470.0
29,32,Real Madrid,10,3,5,0,0,0,365.0
365,32,Valladolid,7,4,5,1,0,2,497.0
30,33,Sevilla,8,2,2,0,0,1,264.0
366,33,Levante,10,4,3,1,1,2,219.0
31,34,Athletic Club,13,0,1,0,0,0,541.0
367,34,Cádiz,6,2,2,0,0,0,456.0
32,35,Celta Vigo,10,5,3,0,1,3,299.0
368,35,Barcelona,5,1,3,0,0,0,237.0
33,37,Valladolid,5,2,2,0,0,0,302.0
